codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
80924;PTZRB;AVIÃO;NATANAEL RIBEIRO CINTRA;SPORTSMAN 2+2;ZZZZ;PISTÃO;1;MONOMOTOR;1066;4;2011;BRASIL;BRASIL;FAZENDA AMONGUIJÁ;ESTÂNCIA SANTA MARIA;CRUZEIRO;EXPERIMENTAL;LEVE;0
80923;PRFNO;AVIÃO;AIR TRACTOR;AT-502B;AT5T;TURBOÉLICE;1;MONOMOTOR;3629;1;2010;BRASIL;BRASIL;FRANCISCO DE ASSIS;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
80922;PTTNY;AVIÃO;CESSNA AIRCRAFT;150M;C150;PISTÃO;1;MONOMOTOR;726;2;1975;BRASIL;BRASIL;ITANHAÉM;POUSO ALEGRE;CRUZEIRO;INSTRUÇÃO;NENHUM;0
80921;*****;***;DESCONHECIDO;MODELO DESCONHECIDO;***;DESCONHECIDO;DESCONHECIDO;***;0;NULL;NULL;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;VOO A BAIXA ALTURA;AERODESPORTIVA;SUBSTANCIAL;1
80920;PUSPX;ULTRALEVE;SAVIO PEDROTTI;CONQUEST 180;ULAC;PISTÃO;1;MONOMOTOR;750;2;2010;BRASIL;BRASIL;Ten. Brig. Ar Waldir de Vasconcelos;NÃO IDENTIFICADO;CIRCUITO DE TRÁFEGO;EXPERIMENTAL;SUBSTANCIAL;0
80919;PTRUS;AVIÃO;NEIVA;EMB-810D;PA34;PISTÃO;2;BIMOTOR;2155;6;1984;BRASIL;BRASIL;BACACHERI;SOROCABA;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
80918;PRZSL;AVIÃO;INPAER INDÚSTRIA PAULISTA DE AERONÁUTICA;EXPLORER;ZZZZ;PISTÃO;1;MONOMOTOR;1200;4;0;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;DECOLAGEM;EXPERIMENTAL;LEVE;0
80917;PSJVA;AVIÃO;BEECH AIRCRAFT;58;BE58;PISTÃO;2;BIMOTOR;2449;6;1977;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;SANTA GENOVEVA/GOIÂNIA;POUSO;PRIVADA;NENHUM;0
80916;PRFBU;AVIÃO;EMBRAER;EMB-500;E50P;JATO;2;BIMOTOR;4750;8;2013;BRASIL;BRASIL;ABA;DEPUTADO LUÍS EDUARDO MAGALHÃES;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
80915;PRTGT;AVIÃO;BEECH AIRCRAFT;B300;B350;TURBOÉLICE;2;BIMOTOR;6804;11;2004;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;PIRES DO RIO;TÁXI;PRIVADA;NENHUM;0
80914;PUZCQ;ULTRALEVE;ANTONIO CELSO QUEIROZ BORBOREMA;RV-9A;ULAC;PISTÃO;1;MONOMOTOR;750;2;2009;BRASIL;BRASIL;SÃO SEBASTIÃO DO PARAÍSO;GURUPI;CRUZEIRO;EXPERIMENTAL;NENHUM;0
80913;PRDIS;AVIÃO;RAYTHEON AIRCRAFT;400A;BE40;JATO;2;BIMOTOR;7393;10;2005;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;PRIVADA;LEVE;0
80912;PSGPJ;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82644;197;2022;BRASIL;BRASIL;EDUARDO GOMES;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;LEVE;0
80911;PRXFR;***;CESSNA AIRCRAFT;401A;C402;PISTÃO;2;BIMOTOR;2858;8;1969;BRASIL;BRASIL;CATARATAS;SERAFIN ENOSS BERTASO;POUSO;PRIVADA;NENHUM;0
80911;PSTAH;AVIÃO;HAWKER BEECHCRAFT;C90GTI;BE9L;TURBOÉLICE;2;BIMOTOR;4756;8;2008;BRASIL;BRASIL;SERAFIN ENOSS BERTASO;HERCÍLIO LUZ;DECOLAGEM;POLICIAL;NENHUM;0
80910;PRHCT;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2012;BRASIL;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO AR;POLICIAL;LEVE;0
80908;PPOVD;AVIÃO;EMBRAER;EMB-505;E55P;JATO;2;BIMOTOR;8150;10;2011;BRASIL;BRASIL;AFONSO PENA;CONGONHAS;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
80907;PRJOI;AVIÃO;CESSNA AIRCRAFT;206H;C206;PISTÃO;1;MONOMOTOR;1633;6;2000;BRASIL;BRASIL;VAL DE CANS / JÚLIO CEZAR RIBEIRO;JOÃO CORREA DA ROCHA;CORRIDA APÓS POUSO;TÁXI AÉREO;NENHUM;0
80906;PRAKC;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;2;BIMOTOR;23000;77;2015;BRASIL;BRASIL;ZUMBI DOS PALMARES;GUARARAPES - GILBERTO FREYRE;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
80905;PRAYJ;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2010;BRASIL;BRASIL;VIRACOPOS;VAL DE CANS / JÚLIO CEZAR RIBEIRO;DESCIDA;REGULAR;NENHUM;0
80904;PROMX;AVIÃO;ISRAEL AIRCRAFT;1124;WW24;JATO;2;BIMOTOR;10660;11;1981;BRASIL;BRASIL;AERÓDROMO NACIONAL DE AVIAÇÃO;SANTA GENOVEVA/GOIÂNIA;CORRIDA APÓS POUSO;TÁXI AÉREO;SUBSTANCIAL;0
80903;PUBPH;ULTRALEVE;DESCONHECIDO;CONQUEST 180;ULAC;PISTÃO;1;MONOMOTOR;750;2;2009;BRASIL;BRASIL;MOCELIN II;SÍLVIO NAME JÚNIOR;CRUZEIRO;PRIVADA;LEVE;0
80902;PTDIQ;AVIÃO;BEECH AIRCRAFT;B90;BE9L;TURBOÉLICE;2;BIMOTOR;4377;6;1968;BRASIL;BRASIL;CONGONHAS;CAMPO GRANDE;CRUZEIRO;TÁXI AÉREO;NENHUM;0
80900;PRYRF;AVIÃO;AIRBUS;A320-251N;A320;JATO;2;BIMOTOR;77000;183;NULL;BRASIL;BRASIL;MARECHAL CUNHA MACHADO;TANCREDO NEVES;CRUZEIRO;REGULAR;NENHUM;0
80899;PPJMA;HELICÓPTERO;AGUSTA;A109E;A109;TURBOEIXO;2;BIMOTOR;2850;8;2010;BRASIL;BRASIL;HELICIDADE;AERÓDROMO FAZENDA ACF;CRUZEIRO;PRIVADA;DESTRUÍDA;2
80898;PTVOF;AVIÃO;EMBRAER;EMB-810D;PA34;PISTÃO;2;BIMOTOR;2155;6;1991;BRASIL;BRASIL;SANTOS DUMONT;GOVERNADOR JOSÉ RICHA;POUSO;PRIVADA;LEVE;0
80897;PUTIS;ULTRALEVE;DESCONHECIDO;P92 ECHO;ULAC;PISTÃO;1;MONOMOTOR;550;2;2002;BRASIL;BRASIL;Clube Céu;Clube Céu;POUSO;INSTRUÇÃO;LEVE;0
80896;PRAYI;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;2;BIMOTOR;52290;125;2010;BRASIL;BRASIL;SANTOS DUMONT;CONGONHAS;PROCEDIMENTO DE APROXIMAÇÃO IFR;REGULAR;NENHUM;0
80895;PTRGZ;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;2;BIMOTOR;2073;6;1981;BRASIL;BRASIL;ABA;MÁRIO RIBEIRO;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
80894;PTNSF;AVIÃO;NEIVA;EMB-711B;P28R;PISTÃO;1;MONOMOTOR;1248;4;1979;BRASIL;BRASIL;FAZENDA SANTA RITA DO ARAGUAIA;TERUEL IPANEMA ESTÂNCIA;DECOLAGEM;PRIVADA;LEVE;0
80891;PRMYN;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2011;BRASIL;BRASIL;EURICO DE AGUIAR SALLES;CONGONHAS;ESTACIONAMENTO;REGULAR;LEVE;0
80890;PTRZV;AVIÃO;NEIVA;EMB-720D;PA32;PISTÃO;1;MONOMOTOR;1633;7;1985;BRASIL;BRASIL;CMTE Juliano Rambo;MARECHAL RONDON;POUSO;PRIVADA;LEVE;0
80887;CCCOH;AVIÃO;AIRBUS;A320-223;A320;JATO;2;BIMOTOR;77000;0;0;CHILE;CHILE;ANTONIO CARLOS JOBIM / GALEÃO;AEROPORTO INTERNACIONAL DE SANTIAGO;TÁXI;REGULAR;NENHUM;0
