codigo_ocorrencia3;fator_nome;fator_aspecto;fator_condicionante;fator_area
53562;CULTURA ORGANIZACIONAL;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
53562;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53562;PLANEJAMENTO DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53562;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53561;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53561;ATENÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
53561;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53561;MOTIVAÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
53561;PERCEPÇÃO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
53559;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53559;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
53559;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
53559;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53559;CULTURA ORGANIZACIONAL;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
53559;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53559;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
53559;PROCESSO DECISÓRIO;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
53559;RELAÇÕES INTERPESSOAIS;ASPECTO PSICOLÓGICO;PSICOSSOCIAL;FATOR HUMANO
53559;SISTEMAS DE APOIO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
53559;SUPERVISÃO GERENCIAL;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53552;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53552;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL
53551;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53551;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53551;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53551;PROCESSOS ORGANIZACIONAIS;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
53546;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53546;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO
53546;CAPACITAÇÃO E TREINAMENTO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
53546;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53546;INSTRUÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53546;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL
53546;ORGANIZAÇÃO DO TRABALHO;ASPECTO PSICOLÓGICO;ORGANIZACIONAL;FATOR HUMANO
