codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
81263;A-012/CENIPA/2023 - 01;2025-11-25;2025-11-25;NULL;Divulgar os ensinamentos da presente investigação com o propósito de alertar os operadores das aeronaves que operam sob as regras do RBAC 91, acerca da necessidade da fiel observância do preconizado na Advisory Circular 20-105B, emitida pela Federal Aviation Administration (FAA), referenciada pela Instrução Suplementar (IS) 91.409-001, Revisão B, da Agência Nacional de Aviação Civil (ANAC), mormente ao que tange à adoção de um programa de monitoramento de tendências que promova a adequada avaliação dascondições gerais do motor e de seus acessórios, para efeito da extensão dos respectivosintervalos entre revisões gerais (overhaul) e que garanta condições mínimas de segurançada aeronave.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81244;A-005/CENIPA/202 - 01;2024-10-29;2024-11-04;2025-03-07;Divulgar os ensinamentos colhidos nesta investigação à Fundação Nacional do Índio(FUNAI), a fim de que aquela organização observe o cumprimento dos requisitos estabelecidos no RBAC 153, visando incrementar o nível de segurança operacional nos aeródromos sob sua responsabilidade.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81239;A-006/CENIPA/2023 - 01;2024-04-27;2024-05-10;2024-11-29;Divulgar os ensinamentos colhidos nesta investigação à Aplimax Aeroagrícola, a fim de alertar aquela empresa quanto aos perigos do posicionamento do abastecimento das aeronaves em área de pouso para uso aeroagrícola, com vistas a evitar a utilização de carretas estaqueadas ao solo próximo à pista.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81172;IG-143/CENIPA/2022 - 01;2023-11-22;2023-11-27;2024-05-24;Avaliar a pertinência de revisar a ICA 100-37 - “Serviços de Tráfego”, com o fito de acrescentar orientações claras aos controladores de tráfego aéreo no sentido de instruir adequadamente as aeronaves que estejam se aproximando para áreas diferentes daquelas designadas para pouso a executarem uma arremetida ou procedimento de aproximação perdida, a exemplo do que trata a publicação para os temas de incursão e/ou presença de obstáculos na pista.;ADOTADA DE FORMA ALTERNATIVA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
81162;A-139/CENIPA/2022 - 01;2025-12-29;2025-12-29;NULL;Divulgar os ensinamentos colhidos nesta investigação ao Centro de Instrução de AviaçãoCivil (CIAC) do Aeroclube de Ponta Grossa, a fim de que os mesmos sejam utilizados noseventos internos de promoção da segurança operacional.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81159;A-138/CENIPA/2022 - 01;2024-04-27;2024-05-06;2024-07-22;Divulgar os ensinamentos presentes nesta investigação ao CIAC Natal Escola de Aviação Civil Ltda., a fim de que este Relatório Final seja utilizado nas ações de promoção da segurança operacional, com foco nos riscos decorrentes da falta de verificação visual da quantidade de combustível existente nas aeronaves, pelos pilotos, antes de cada voo.;ADOTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81145;A-134/CENIPA/2022 - 01;2025-12-29;2025-12-29;NULL;Atuar junto à Ambipar Flyone Serviço Aéreo Especializado, Comércio e Serviços S.A. a fimde certificar-se de que aquele operador atende aos requisitos estabelecidos no RBAC 135,em especial em relação ao seu Programa de Treinamento e aos Elementos previstos naestrutura do seu Sistema de Gerenciamento da Segurança Operacional (SMS).;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81145;A-134/CENIPA/2022 - 02;2025-12-29;2025-12-29;NULL;Divulgar os ensinamentos colhidos na presente investigação às empresas certificadas paraoperarem helicópteros segundo os requisitos estabelecidos no RBAC 135, a fim de queesses operadores divulguem, nos seus eventos internos de promoção da segurançaoperacional, os riscos decorrentes da operação com meteorologia adversa, assim como anecessidade do cumprimento dos requisitos estabelecidos, em especial, a obrigatoriedadeda realização do Programa de Treinamento Operacional e a melhoria contínua da culturade segurança operacional.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81130;A-123/CENIPA/2022 - 01;2025-07-03;2025-07-04;2025-09-11;Divulgar os ensinamentos colhidos na presente investigação durante os eventos de Promoção da Segurança Operacional, com o objetivo de divulgar o fenômeno conhecido como vapor lock e a possibilidade de interrupção temporária no fornecimento de combustível, levando a variações repentinas de desempenho ou a uma falha de motor, em especial, nas operações aeroagrícolas.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81124;A-128/CENIPA/2022 - 01;2025-08-15;2025-08-18;2025-08-15;Atuar junto à SRR Aviação Agrícola Eireli - ME, no sentido de que aquele operadordemonstre que os seus mecanismos de supervisão gerencial asseguram a segurança dasoperações conduzidas pelos pilotos nas aeronaves da empresa, em especial no queconcerne ao planejamento dos voos e à promoção de uma cultura de segurança.;NÃO ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
