ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_publicado;total_aeronaves_envolvidas;ocorrencia_saida_pista;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
INCIDENTE;PORTO SEGURO;BA;BRASIL;SBPS;23/03/2024;20:25:00;SIM;FINALIZADA;NÃO;1;NÃO;PTJTB;AVIÃO;COMMANDER;112;PISTÃO;1;MONOMOTOR;4;1974;BRASIL;OLHOS D'ÁGUA;ITAITUBA;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;24/03/2024;15:25:00;SIM;FINALIZADA;NÃO;1;NÃO;PUJCD;ULTRALEVE;DESCONHECIDO;PARADISE I;PISTÃO;1;MONOMOTOR;2;2003;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;EXPERIMENTAL;SUBSTANCIAL;0
INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;23/03/2024;07:20:00;SIM;FINALIZADA;NÃO;1;NÃO;PTIML;AVIÃO;CESSNA AIRCRAFT;A188B;PISTÃO;1;MONOMOTOR;1;1972;BRASIL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
INCIDENTE;BELÉM;PA;BRASIL;SBBE;23/03/2024;14:01:00;SIM;FINALIZADA;NÃO;1;NÃO;PRLIV;AVIÃO;CESSNA AIRCRAFT;210N;PISTÃO;1;MONOMOTOR;0;1979;BRASIL;CORONEL ALTINO MACHADO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;APROXIMAÇÃO FINAL;PRIVADA;LEVE;0
INCIDENTE;SALVADOR;BA;BRASIL;SBSV;23/03/2024;20:45:00;SIM;FINALIZADA;NÃO;1;NÃO;PSLMR;AVIÃO;EMBRAER;EMB-203;PISTÃO;1;MONOMOTOR;0;2020;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;APROXIMAÇÃO FINAL;AGRÍCOLA;SUBSTANCIAL;1
INCIDENTE;PALMAS;TO;BRASIL;SBPJ;25/03/2024;13:56:00;SIM;FINALIZADA;NÃO;1;NÃO;PSLPD;AVIÃO;CESSNA AIRCRAFT;208B;TURBOÉLICE;1;MONOMOTOR;NULL;2004;BRASIL;MALBORO;SURUCUCU;DECOLAGEM;PRIVADA;LEVE;0
INCIDENTE;SALVADOR;BA;BRASIL;SBSV;21/03/2024;13:10:00;SIM;FINALIZADA;NÃO;1;NÃO;PTGSO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;PISTÃO;1;MONOMOTOR;1;1978;BRASIL;ROSÁRIO DO SUL;ROSÁRIO DO SUL;CRUZEIRO;AGRÍCOLA;SUBSTANCIAL;0
INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;24/03/2024;23:48:00;SIM;FINALIZADA;NÃO;1;NÃO;PTMBU;AVIÃO;EMBRAER;EMB-121A1;TURBOÉLICE;2;BIMOTOR;6;1982;BRASIL;HERCÍLIO LUZ;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CRUZEIRO;PRIVADA;DESTRUÍDA;5
INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;24/03/2024;18:39:00;SIM;FINALIZADA;NÃO;1;NÃO;PTOCH;AVIÃO;BEECH AIRCRAFT;A36;PISTÃO;1;MONOMOTOR;6;1990;BRASIL;JATAÍ;JATAÍ;CRUZEIRO;PRIVADA;NENHUM;0
INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;23/03/2024;08:50:00;SIM;FINALIZADA;NÃO;1;NÃO;PRMIR;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;PISTÃO;1;MONOMOTOR;4;2011;BRASIL;;PRIMAVERA;APROXIMAÇÃO FINAL;PRIVADA;LEVE;0
